seed,model_mae_reactivity,model_mae_Mg_pH10,model_mae_Mg_50C,degscore_mae_Mg_pH10,degscore_mae_Mg_50C
0,5.527380868278103,8.52432120667116,8.057685073655454,8.033109947853989,8.28852835940634
1,5.542336178980589,8.613394524627454,8.058277490222133,8.033109947853989,8.28852835940634
2,5.410804162314882,8.55859699218603,8.385360333518813,8.033109947853989,8.28852835940634
