number,value,datetime_start,datetime_complete,duration,params_dropout,params_grad_clip,params_heads,params_hid_dim,params_layers,params_lr,params_weight_decay,state
27,-1.1340535645683607,2024-12-14 10:40:22.607802,2024-12-14 10:52:48.172240,0 days 00:12:25.564438,0.1,10.0,8,64,4,0.000343529130068659,9.954484192696998e-05,COMPLETE
28,-1.135268433392048,2024-12-14 10:52:48.173347,2024-12-14 11:22:54.700596,0 days 00:30:06.527249,0.2,9.0,8,128,5,0.0032266771162190373,0.00010264591505073536,COMPLETE
29,-1.128534804781278,2024-12-14 11:22:54.701369,2024-12-14 12:08:29.071499,0 days 00:45:34.370130,0.0,10.0,16,64,4,0.00141435515249403,0.00016207469798740638,COMPLETE
30,-1.1443675503134727,2024-12-14 12:08:29.072318,2024-12-14 12:37:28.549523,0 days 00:28:59.477205,0.0,10.0,16,128,4,0.0013409303163142699,5.5443977650260766e-05,COMPLETE
31,-1.1324236298600832,2024-12-14 12:37:28.550189,2024-12-14 12:53:17.816516,0 days 00:15:49.266327,0.0,10.0,16,64,4,0.000796699814552529,0.00019053373568925686,COMPLETE
32,-1.1350901852051416,2024-12-14 12:53:17.816810,2024-12-14 13:11:23.204829,0 days 00:18:05.388019,0.1,8.0,16,64,4,0.0029757814292108897,0.00011104444934493282,COMPLETE
33,-1.1324051330486933,2024-12-14 13:11:23.205115,2024-12-14 13:31:41.001323,0 days 00:20:17.796208,0.0,9.0,16,64,5,0.0017174633934527394,0.0001550141776573529,COMPLETE
34,-1.133702810605367,2024-12-14 13:31:41.001954,2024-12-14 13:54:00.980501,0 days 00:22:19.978547,0.1,6.0,16,64,6,0.00045770311109090623,0.0007191438502335305,COMPLETE
35,-1.1387096539139747,2024-12-14 13:54:00.980913,2024-12-14 13:59:08.147795,0 days 00:05:07.166882,0.0,9.0,8,64,4,0.000993290738951683,0.00029600895118302834,COMPLETE
36,-1.1499856690565744,2024-12-14 13:59:08.148061,2024-12-14 14:32:27.971596,0 days 00:33:19.823535,0.30000000000000004,6.0,16,256,5,0.00015195923902388864,0.00018719317181893424,COMPLETE
37,-1.133121871948242,2024-12-14 14:32:27.972246,2024-12-14 14:44:59.019914,0 days 00:12:31.047668,0.1,5.0,8,64,4,0.0003031177055638108,0.0009921267796317264,COMPLETE
38,-1.146070387462775,2024-12-14 14:44:59.020202,2024-12-14 14:48:19.752679,0 days 00:03:20.732477,0.0,8.0,2,128,5,0.0019464020555047638,9.142235003242539e-05,COMPLETE
39,-1.13335226525863,2024-12-14 14:48:19.752943,2024-12-14 16:33:35.238465,0 days 01:45:15.485522,0.2,2.0,16,256,6,0.0013522027769548007,3.168596876921911e-05,COMPLETE
40,-1.1489870250225067,2024-12-14 16:33:35.239151,2024-12-14 16:37:17.603971,0 days 00:03:42.364820,0.1,10.0,8,64,3,0.004222412516105005,0.00036130749440662285,COMPLETE
41,-1.131578150888284,2024-12-14 16:37:17.604234,2024-12-14 16:54:50.584280,0 days 00:17:32.980046,0.0,8.0,8,64,6,0.0005310341014374587,0.0004857599054441032,COMPLETE
42,-1.1313780928651491,2024-12-14 16:54:50.584583,2024-12-14 17:07:55.495641,0 days 00:13:04.911058,0.0,7.0,8,64,6,0.0005465116384803039,0.0004662414273501228,COMPLETE
43,-1.1426410521070163,2024-12-14 17:07:55.496022,2024-12-14 17:14:31.322414,0 days 00:06:35.826392,0.0,7.0,8,64,6,0.00026846314333315565,0.0003172192479854373,COMPLETE
44,-1.147022686402003,2024-12-14 17:14:31.322699,2024-12-14 17:16:58.486642,0 days 00:02:27.163943,0.0,6.0,2,64,5,0.0007500674029207061,0.0005961714952525105,COMPLETE
45,-1.135535803437233,2024-12-14 17:16:58.486897,2024-12-14 17:39:58.578593,0 days 00:23:00.091696,0.1,7.0,4,256,5,0.0023176427414594576,0.0001564686186338043,COMPLETE
46,-1.1291086783011755,2024-12-14 17:39:58.579216,2024-12-14 17:56:30.054234,0 days 00:16:31.475018,0.0,5.0,8,64,6,0.0005734723273791713,0.00012275523756354514,COMPLETE
47,-1.1337869515021641,2024-12-14 17:56:30.054505,2024-12-14 17:59:33.696167,0 days 00:03:03.641662,0.2,2.0,4,64,3,0.00038254058526710383,5.5288942476994956e-05,COMPLETE
48,-1.1334812636176745,2024-12-14 17:59:33.696440,2024-12-14 18:02:40.245657,0 days 00:03:06.549217,0.1,4.0,2,64,4,0.0016419680741507734,0.0001216479651406349,COMPLETE
49,-1.130200766523679,2024-12-14 18:02:40.245910,2024-12-14 18:21:13.454816,0 days 00:18:33.208906,0.2,5.0,8,64,6,0.0006431909294442904,8.301883951447101e-05,COMPLETE
